,venue,date,age,price,location,event_description,event_name
73,Mayes Oyster House,"Saturday, February 25, 2023 - 7:00 pm to 11:00 pm",Free / RSVP,FREE*,"1233 Polk St. San Francisco, CA 94154Polk Gulch, TenderloinSan Francisco","The event is a comedy festival that is taking place at Mayes, a bar in San Francisco. 

The event is taking place in honor of Black History Month. There will be two shows each night, and admission is free for those who RSVP. The lineup for each show is subject to change, and there is a two-drink minimum.",2023 Black Laughs Matter: SF’s Black History Month Comedy Fest (Feb. 24-25)
74,Secret Location (SF),"Saturday, February 25, 2023 - 7:00 pm to 10:30 pm",18+,$15 with code FUNCHEAP (otherwise $20),"San Francisco, CA",,SF’s Tiki Bar “HellaSecret” Comedy Show (7p + 9p Shows)
75,Mayes Oyster House,"Saturday, February 25, 2023 - 7:00 pm to 10:30 pm",,Free with RSVP (normally $15-20). Two drink minimum required,"1233 Polk St. San Francisco, CA 94154Polk Gulch, TenderloinSan Francisco","Comedians with Criminal Records is a unique showcase of professional comics who have had troubles with the law in the past. In addition to an hilarious comedy set, you'll also hear the back-story of the comedian and the crime they committed and how stand-up comedy (hopefully) helped get them back on the straight and narrow. 
Every Saturday Night, 7p + 9p shows each night – 21+
Mayes Oyster House, 1233 Polk St., SF – NEW VENUE FOR 2023!
Guestlist limited to first 75 people per show – RSVP quickly!
Like most comedy clubs, there is a two drink minimum. This helps the bar and wait staff tremendously during these tough times.",“Comedians with Criminal Records” Live in SF (2023)
76,San Francisco Playhouse,"Saturday, February 25, 2023  - 8:00 pm to 10:20 pm",,$18*,"450 Post St., San Francisco, CAUnion Square / DowntownSan Francisco","The play Cashed Out is a world premiere and is about a Native American woman named Rocky who is trying to balance between her traditional basket-making culture and the inroads on reservation life of the casino. Claude Jackson, Jr. wrote the play and it was directed by Tara Moses. The play is recommended for people who want to see a heartfelt and humorous world premiere. The best seats go quickly, and masks are required inside the auditorium at all times.",40% Off Tix: “Cashed Out” World Premiere at San Francisco Playhouse (Final Night)
77,Neck of The Woods,"Saturday, February 25, 2023  - 10:30 pm to 2:00 am",,$10* (Early Bird tickets $10 adv w/ code FUNCHEAP (otherwise $15-20). Two drink minimum),"406 Clement Street, San Francisco, CA Richmond District San Francisco","The '90s were the best. The fashion was uhh-mayy-zing, the slang was super dope, and the music was PHENOMENAL.",No Scrubs: ’90s Hip Hop and R&B Night (SF)
78,de Young Museum,"Saturday, February 25, 2023  - 9:30 am to 5:15 pm",Free / RSVP,FREE*,"50 Hagiwara Tea Garden Drive, San Francisco, CA Golden Gate Park San Francisco","The de Young Museum offers free general admission to Bay Area residents on Saturdays. Visitors must make timed reservations in advance to avoid long lines. The museum features engaging art experiences for the entire family, including art-making, gallery guides, and tours with discussion and sketching in the permanent galleries.",Free de Young Museum Day for Bay Area Residents (Every Saturday)
79,Legion of Honor,"Saturday, February 25, 2023  - 9:30 am to 5:15 pm",Free,RSVP,"100 34th Avenue, San Francisco, CA 94121Lands EndSan Francisco","The Legion of Honor offers free general admission to the permanent galleries to Bay Area residents on Saturdays. This offer is available to essential workers, which includes emergency services, health care, grocery stores, city operations and maintenance, social services, public transit, and delivery services. The offer is valid through December 2021.",Free “Legion of Honor” Museum Day for Bay Area Residents (Every Saturday)
80,Neck of The Woods,"Saturday, February 25, 2023 - 7:00 pm to 9:00 pm",,Free with RSVP for first 100 people. $10 advanced tickets or $15 at door without RSVP,"406 Clement Street, San Francisco, CA Richmond District San Francisco","This event is about a weekly comedy night at a new club in San Francisco that is specifically for people of Indian, Pakistani, Sri Lankan, Bangladeshi, Afghani, and South Asian descent.",SF’s HellaDesi Comedy Night (Every Saturday)
81,Sunset Mercantile,"Sunday, February 26, 2023  - 9:00 am to 2:00 pm",Free,Free,"37th Avenue between Ortega & Pacheco St., San Francisco, CA",The Outer Sunset Farmers Market is a weekly market featuring local businesses. The market is held at 37th Ave. and Ortega in San Francisco.,Outer Sunset Farmers Market & Mercantile 2023
82,Sunset Mercantile,"Sunday, February 26, 2023  - 9:00 am to 2:00 pm",Free,Free,"37th Avenue between Ortega & Pacheco St., San Francisco, CA Sunset District San Francisco","The Outer Sunset Farmers Market is a weekly market that takes place at 37th Ave. and Ortega Street in San Francisco. The market features local farmers, ranchers, food artisans, live music, children's activities, vendors, makers, merchants, artists, and local organizations.",Outer Sunset Farmers Market & Mercantile 2023
83,37th and Ortega (SF),"Sunday, February 26, 2023  - 9:00 am to 3:00 pm",Free,FREE,"37th Ave and Ortega St, San Francisco, CASunset DistrictSan Francisco","The Outer Sunset Farmers Market & Mercantile is a weekly market featuring farmers, ranchers, food artisans, live music, children’s activities, vendors, makers, merchants, artists, and local organizations. The market is open every Sunday from 9 am to 2 pm, rain or shine, and is located on 37th Avenue between Ortega and Quintara in San Francisco.",Outer Sunset Farmers Market & Mercantile
84,Manny's,"Sunday, February 26, 2023  - 10:00 am to 11:00 am",Free / RSVP,FREE*,"3092 16th St San Francisco, CA 94103Mission DistrictSan Francisco",This event is a neighborhood trash pick up to help keep the area clean and neat.,“Manny’s Neighborhood Trash Cleanup” w/ $1 Margaritas & Free Burritos (SF)
85,JFK Drive Lindy Hop Spot,"Sunday, February 26, 2023  - 11:00 am to 2:00 pm",Free,Free,"JFK Dr. & Music Concourse Dr, San Francisco, CA Golden Gate Park San Francisco","The event is a free outdoor swing dance event that takes place every Sunday in Golden Gate Park. 

The event is open to the public and takes place near the de Young Museum. There is no need for a partner, as leaders and followers rotate throughout the lesson.",“Lindy in the Park” Swing Dance Party (Golden Gate Park)
86,Skatin' Place,"Sunday, February 26, 2023 - 1:00 pm to 5:00 pm",FREE,FREE,"6th Ave. and Kennedy Drive, San Francisco, CA Golden Gate Park San Francisco","There is a place in San Francisco's Golden Gate Park that is heaven for Bay Area inline skaters and roller skaters who like to boogie to the funky beat on wheels. The Godfather of Skate brings his mobile DJ unit and plays groovy tunes for you to skate to. On most Sundays, there's usually someone willing to teach you a few choreographed roller disco dance moves.

The area is called, ""Skatin' Place."" It is located at 6th Avenue and Kennedy Drive in the park. It has been officially dedicated and recognized as the home for outdoor roller skating in the San Francisco. Skaters gather on Wednesdays from about 3 to 5 pm and on Saturdays from 1 to 5 pm. During Daylight Saving Time, they extend the time to 6 pm.",Golden Gate Park Sunday Roller Disco Party (SF)
87,Condor Club,"Monday, February 27, 2023 - 7:30 pm to 9:00 pm",,Free with code FUNCHEAP (limited tickets),"560 Broadway, San Francisco, CANorth BeachSan Francisco",The Condor Club will have real dirty comedians and some of SF's top local comics every weekend.,FREE TIX: SF’s Dirty Joke Night at a Legendary Strip Club (North Beach)
88,Condor Club,"Monday, February 27, 2023 - 7:30 pm to 9:00 pm",,Free with code FUNCHEAP (limited tickets),"560 Broadway, San Francisco, CANorth BeachSan Francisco",,FREE TIX: SF’s Dirty Joke Night at a Legendary Strip Club (North Beach)
89,Emporium SF,"Monday, February 27, 2023 - 4:00 pm to 2:00 am",No age requirement,FREE* (4 free game token if you show your California ID),"616 Divisadero St San Francisco, CA",The event is about giving out free game tokens to California residents.,SF Arcade Bar “Emporium” Free Game Token Night (Every Monday)
90,Madrone Art Bar,"Monday, February 27, 2023 - 7:00 pm to 2:00 am",NoPaSan Francisco,Free before 8pm; $5 after,"500 Divisadero Street, San Francisco, CA 94117",The event is about dancing to Motown music with DJs Gordo Cabeza and guest DJs.,“Motown On Mondays” DJ Night (Madrone Art Bar)
91,San Francisco Ferry Building,"Tuesday, February 28, 2023 - All Day",Free,FREE,"1 Ferry Bldg., San Francisco, CASoMaSan Francisco",,2023 “Hearts in San Francisco” at the Ferry Building (Final Day)
92,San Francisco Ferry Building,"Tuesday, February 28, 2023 - All Day",,FREE,"1 Ferry Bldg., San Francisco, CASoMaSan Francisco","The event is taking place from January 25-February 28, 2023 and will feature 24 new Hearts sculptures. 

The Hearts sculptures were designed by local Bay Area artists and will be auctioned off to benefit the Hospital on February 9, 2023.",2023 “Hearts in San Francisco” at the Ferry Building (Final Day)
93,Tope Lounge,"Tuesday, February 28, 2023  - 8:00 pm to 9:30 pm",,FREE* with code FUNCHEAP (limited tickets),"1326 Grant Avenue, San Francisco, CANorth BeachSan Francisco","The event is a comedy night at Tope Lounge in North Beach. 

The event is free and starts at 8pm. There is a $10 minimum purchase for drinks. 

The lineup of comics includes Stroy Moyd, who is known for his role on ""Blindspotting"" on STARZ, and other comedians who you'll regularly see at other venues around the Bay Area.",FREE TIX: HellaFunny’s Brand New North Beach Comedy Blast (Opening Night)
94,SF Eagle,"Tuesday, February 28, 2023  - 6:30 pm to 8:30 pm",,FREE,"398 12th St., San Francisco, CA SoMa San Francisco",This is an improv workshop in a LGBTQ+ leather bar. Expect the topics we explore to be R-Rated.,Fists of Improv: LGBTQ+ Leather Bar’s Free Improv Workshop (SF)
95,Neck of The Woods,"Tuesday, February 28, 2023 - 7:00 pm",Free,Free,"406 Clement Street, San Francisco, CA Richmond District San Francisco",The event is a comedy night with Danny Dechi and friends. It is hosted by Danny Dechi and takes place every Tuesday at 7pm. There is no charge to attend.,Comedy Blast at Neck Of The Woods with Danny Dechi & Friends
96,Milk Bar,"Tuesday, February 28, 2023  - 8:00 pm to 10:00 pm",,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,Paradise Comedy: A Stand Up Comedy Debate Show (SF)
97,GLBT Historical Society Museum,"Wednesday, March 1, 2023  - 11:00 am to 5:00 pm",Free,Free,"4127 18th St. San Francisco, CA Castro San Francisco","The GLBT Historical Society Museum is a museum in San Francisco that celebrates the city's vast queer past. Admission is normally $10, but on the first Wednesday of every month, admission is free for everyone thanks to a grant from the Bob Ross Foundation.",SF’s GLBT History Museum: Free First Wednesday
98,GLBT Historical Society Museum,"Wednesday, March 1, 2023  - 11:00 am to 5:00 pm",Free,Free,"4127 18th St. San Francisco, CA Castro San Francisco","The GLBT Historical Society Museum is a museum located in San Francisco's Castro District that celebrates 100 years of the city's vast queer past. Admission to the museum is normally $10, but on the first Wednesday of every month, admission is free for everyone thanks to a grant from the Bob Ross Foundation.",SF’s GLBT History Museum: Free First Wednesday
99,Japanese Tea Garden,"Wednesday, March 1, 2023  - 9:00 am to 10:00 am",,FREE,"75 Hagiwara Tea Garden Dr, San Francisco, CA","The Japanese Tea Garden provides visitors from around the world with an opportunity to experience the natural beauty, tranquility and harmony of a Japanese-style garden in the heart of San Francisco’s Golden Gate Park. 

The Japanese Tea Garden features classic elements such as an arched drum bridge, pagodas, stone lanterns, stepping stone paths, native Japanese plants, serene koi ponds and a zen garden.",Free Admission Hour “Japanese Tea Garden” at Golden Gate Park (SF)
100,Ocean Beach Fire Pits,"Wednesday, March 1, 2023 - 3:00 pm to 9:30 pm",,FREE,"Ocean Beach Fire Pits, San Francisco, CA Ocean BeachSan Francisco",,Ocean Beach Bonfires Return for 2023 (SF)
101,Rye Bar,"Wednesday, March 1, 2023 - 6:00 pm to 12:00 am",Free,FREE*,"688 Geary St. San Francisco, CA 94102TenderloinSan Francisco",The event is about free hot dogs with every Hornitos cocktail purchase.,“Wiener Wednesday” Free Hot Dog Night at Rye (SF)
102,Asian Art Museum,"Thursday, March 2, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco","The Asian Art Museum is open until 8 pm on Thursdays and general admission is just $10 (that's half-off). Plus Special exhibitions are now included with general admission tickets!You can spend an evening in their beautiful building enjoying the galleries, fun talks, lively gatherings and intimate hangs with artists.Except for certain special events, general admission tickets are $10 for adults, $8.50 for seniors, $7 for students and youths (age 13-17).",Asian Art Museum’s $10 Thursday Nights (SF)
103,Asian Art Museum,"Thursday, March 2, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco","The Asian Art Museum is open until 8 pm on Thursdays and general admission is just $10 (that’s half-off). Plus Special exhibitions are now included with general admission tickets! You can spend an evening in their beautiful building enjoying the galleries, fun talks, lively gatherings and intimate hangs with artists. Except for certain special events, general admission tickets are $10 for adults, $8.50 for seniors, $7 for students and youths (age 13-17).",Asian Art Museum’s $10 Thursday Nights (SF)
104,Del Mar,"Thursday, March 2, 2023 - 7:00 pm to 2:00 am",No cover all night,Free,"2125 Lombard St, San Francisco, CA 94123Cow Hollow, MarinaSan Francisco",,“Throwback Thursday” at Del Mar: ’90s to ’00s Party (SF)
105,SFMOMA,"Thursday, March 2, 2023  - 1:00 pm to 8:00 pm",All,Free,"151 Third Street, San Francisco, CA","SFMOMA is hosting free First Thursdays for Bay Area locals. 

The First Thursday events at SFMOMA will include a documentary on female muralists and a cheesecake party in honor of Joan Brown.",SFMOMA’s “Free First Thursdays” Free Museum Day for Locals (2023)
106,Milk Bar,"Thursday, March 2, 2023 - 7:30 pm to 9:00 pm",FREE,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,Paradise Comedy Presents : A Stand Up Comedy Show (SF)
107,Speakeasy Brewery,"Friday, March 3, 2023  - 8:00 pm to 9:30 pm",,FREE* with secret code FUNCHEAPGUEST. Normally $5-15.,"1195 Evans Avenue, San Francisco, CA 94124Bayview / Hunters PointSan Francisco","The Speakeasy Ales & Lagers brewery is celebrating its legacy by hosting a special month-long pop-up comedy festival every Friday night. 
     These are the freshest pints you can get in San Francisco, since they’re right from the brewery’s taps. Every Friday Night at 7pm and 9pm. 
     VIP “SHOUT OUT” OPTION – Want to wish someone an unforgettable happy birthday? Want one of the comics to say hi to your date? Or want to feel the burn and have a comic roast someone in your group? One of our comics will give you a special shout out from the stage. Limited to maximum of 2 per show.",SF’s Winterfest Beer & Comedy Festival 2023 (Speakeasy Brewery)
108,Speakeasy Brewery,"Friday, March 3, 2023  - 8:00 pm to 9:30 pm",,FREE* with secret code FUNCHEAPGUEST. Normally $5-15.,"1195 Evans Avenue, San Francisco, CA 94124Bayview / Hunters PointSan Francisco",,SF’s Winterfest Beer & Comedy Festival 2023 (Speakeasy Brewery)
109,Contemporary Jewish Museum,"Friday, March 3, 2023  - 11:00 am to 5:00 pm",N/A,FREE,"736 Mission Street, San Francisco, CASoMaSan Francisco",,Contemporary Jewish Museum Free Admission Day (First Fridays)
110,Heron's Head Park,"Friday, March 3, 2023 - 2:00 pm to 3:00 pm",Free,FREE,"Cargo Way & Jennings St, San Francisco, CABayview / Hunters PointSan Francisco",,SF’s Free “Birding Hour” w/ Binoculars Provided at Heron’s Head Park (Feb-May)
111,Monroe,"Friday, March 3, 2023 - 5:00 pm to 11:00 pm",,Free / RSVP,"473 Broadway Street, San Francisco, CA North Beach San Francisco","The event is called the ""Battle of the Decades"" and it is a DJ party with drink specials for each hour.",$1 Drink Fridays: “Battle of the Decades” DJ Party (North Beach)
112,North Beach,"Friday, March 3, 2023 - 5:00 pm to 9:00 pm",Free,FREE,"Grant Ave. and Vallejo St., San FranciscoNorth BeachSan Francisco","The First Fridays Art Crawl is a self-guided event where North Beach galleries, museums, bars, and restaurants stay open late on the first Friday of every month. There are special events to showcase the collections of art and entertainment that diversify North Beach.",North Beach First Fridays Art Crawl (SF)
113,Fish and Farm,"Friday, March 3, 2023 - 7:00 pm",Free / RSVP,FREE,"424 Clay St, San Francisco, CAFinancial DistrictSan Francisco","The event is a comedy show featuring up-and-coming comedians. 

The event is taking place at Fish & Farm, which is located in the Financial District. The comedians featured on the show are from all over the country, and the show is updated every Friday night. The show is limited in availability, and seating is not saved once it starts.",“Deep Cut Comedy” Live Stand Up at Fish & Farm (SF)
114,Secret Location (SF),"Friday, March 3, 2023  - 8:00 pm to 10:00 pm",,FREE,"San Francisco, CA","The San Francisco Bike Party is a monthly celebration of biking that takes place in San Francisco. Every month, there is a different theme, and participants are encouraged to dress up. The rides are fun and safe, and participants are encouraged to bring positivity and contribute to good times while being respectful to others. The event is organized by a co-op, by and for bike enthusiasts, and is run by volunteers who plan the routes, test ride them, help participants ride in control, avoid traffic disruption, and not get lost.",San Francisco Bike Party (First Fridays)
115,Neck of The Woods,"Saturday, March 4, 2023 - 7:00 pm to 9:00 pm",Free / RSVP,Donations ($5-$10) greatly appreciated. $10 adv / $15 door tickets also required,"406 Clement Street, San Francisco, CA Richmond District San Francisco","This event is a comedy showcase where Bay Area comedians will be performing. The event is free to attend, but there is a two drink minimum to help support the local bar scene.",“Crazy Funny Asians” Comedy Showcase (SF)
116,Neck of The Woods,"Saturday, March 4, 2023 - 7:00 pm to 9:00 pm",Free / RSVP,Donations ($5-$10) greatly appreciated. $10 adv / $15 door tickets also required,"406 Clement Street, San Francisco, CA Richmond District San Francisco","The Crazy Funny Asians comedy showcase is a free event where Bay Area comedians will perform. The event is presented by Funcheap and HellaFunny and will take place at Neck of the Woods in San Francisco. The lineup for each show is subject to change, but some of the comedians who have been announced include K. Cheng, Khmers of Comedy, and NBC's Stand Up for Diversity. There is a two-drink minimum at Neck of the Woods, and tickets are free with RSVP.",“Crazy Funny Asians” Comedy Showcase (SF)
117,Mayes Oyster House,"Saturday, March 4, 2023 - 7:00 pm to 10:30 pm",,Free with RSVP (normally $15-20). Two drink minimum required,"1233 Polk St. San Francisco, CA 94154Polk Gulch, TenderloinSan Francisco","Comedians with Criminal Records is a unique showcase of professional comics who have had troubles with the law in the past. In addition to an hilarious comedy set, you'll also hear the back-story of the comedian and the crime they committed and how stand-up comedy (hopefully) helped get them back on the straight and narrow. And it all takes place at the historic MAYES OYSTER HOUSE, one of the most historic bars on Polk Street and the perfect start to an insanely fun night of bar hopping.
Every Saturday Night
7p + 9p Shows each night – 21+
Mayes Oyster House, 1233 Polk St., SF – NEW VENUE FOR 2023!
Guestlist limited to first 75 people per show – RSVP quickly!",“Comedians with Criminal Records” Live in SF (2023)
